"Date","Open","High","Low","Close","Volume"
"8/26/2011","475.549988","484.75","470","474.225006","3584910"
"8/29/2011","482.049988","512","482.049988","509.799988","5590444"
"8/30/2011","515","525.150024","512.075012","521.200012","5966682"
"9/2/2011","536.5","537.375","506","511.049988","4413506"
"9/5/2011","507.899994","516.599976","499.225006","513.849976","3789658"
"9/6/2011","509","521","502.5","516.950012","4763292"
"9/7/2011","517.049988","525","512.5","515.5","4432156"
"9/8/2011","516.5","527.474976","514.5","518.025024","4892662"
"9/9/2011","520","525.799988","505.325012","508.024994","5062650"
"9/12/2011","500","501.924988","489.325012","492.850006","3297170"
"9/13/2011","498.899994","512","494.375","496.875","3798204"
"9/14/2011","500.5","514.5","496.875","507.549988","4745632"
"9/15/2011","514","522.900024","505","520.875","3852238"
"9/16/2011","524","536.200012","510.649994","513.875","4656504"
"9/19/2011","510.75","516.25","506.25","509.024994","2240234"
"9/20/2011","511.049988","532","511.049988","528.974976","3487986"
"9/21/2011","533.974976","533.974976","518.450012","521.75","2740760"
"9/22/2011","511.5","517","493.100006","497.200012","3141570"
"9/23/2011","494","507.5","491.125","495.149994","4564232"
"9/26/2011","498","504","484.5","498.475006","3388478"
"9/27/2011","506.899994","522.5","503","520.275024","3964578"
"9/28/2011","524.25","532.349976","518.5","523.950012","4425190"
"9/29/2011","521.625","534","517.849976","530.724976","5380350"
"9/30/2011","524.950012","532","516.549988","518.650024","2691018"
"10/3/2011","510","524.950012","507.649994","521.650024","3949264"
"10/4/2011","519.200012","529.5","514.549988","522.974976","4718224"
"10/5/2011","527.25","531.5","520.5","521.775024","3415262"
"10/7/2011","537.549988","538.900024","518.75","524.275024","5085808"
"10/10/2011","524","537","524","532.349976","3854814"
"10/11/2011","537.5","539","517.25","520.424988","4476374"
"10/12/2011","533","544.700012","531","539.525024","5871662"
"10/13/2011","548.25","552.474976","540.049988","546.375","5408918"
"10/14/2011","544.700012","570.375","544.450012","567.125","6710132"
"10/17/2011","575.75","577","555.650024","560.125","4358690"
"10/18/2011","531","532.125","510.25","516.775024","12006778"
"10/19/2011","521.5","527.200012","517.599976","524.474976","3827420"
"10/20/2011","518","523.5","515.150024","522.450012","2245412"
"10/21/2011","527.450012","530","521.5","524.924988","2461130"
"10/24/2011","530","546.150024","529.75","539.875","3271720"
"10/25/2011","544.5","553.5","535.724976","549.325012","4158746"
"10/28/2011","564.5","569.549988","555.5","560.75","3259116"
